id,kod_dun,kawasan,kategori_pas,action_type,priority,action_text,owner,frequency,trigger_signal,status
N34_digital_1,N34,Gemas,tough,digital,P2,Minimum 1 post/minggu — jangan habiskan budget iklan.,Jentera N34,1×/minggu,manual,pending
N34_digital_2,N34,Gemas,tough,digital,P2,Rebut isu FELDA Gemas hanya bila lawan attack.,Jentera N34,1×/minggu,manual,pending
N34_lapangan_3,N34,Gemas,tough,lapangan,P2,Ceramah selective — hanya jika isyarat positif (crowd >200).,Jentera N34,selective,manual,pending
N34_lapangan_4,N34,Gemas,tough,lapangan,P2,Sentuhan akar umbi Sempadan Johor — 1 program/2 minggu.,Jentera N34,selective,manual,pending
N34_komunikasi_5,N34,Gemas,tough,komunikasi,P2,Mesej defensif: perpaduan + elak provokasi.,Jentera N34,mingguan,manual,pending
N34_intel_6,N34,Gemas,tough,intel,P2,Monitor passive — crawl 1×/minggu N34 Gemas.,Jentera N34,1×/minggu,manual,pending
N34_intel_7,N34,Gemas,tough,intel,P2,Naikkan ke Boleh Menang jika lawan lemah (clash PN / sentiment drop).,Jentera N34,1×/minggu,opponent_weak_signal,pending
N35_digital_1,N35,Gemencheh,tough,digital,P2,Minimum 1 post/minggu — jangan habiskan budget iklan.,Jentera N35,1×/minggu,manual,pending
N35_digital_2,N35,Gemencheh,tough,digital,P2,Rebut isu Kos sara hidup / ekonomi mikro hanya bila lawan attack.,Jentera N35,1×/minggu,manual,pending
N35_lapangan_3,N35,Gemencheh,tough,lapangan,P2,Ceramah selective — hanya jika isyarat positif (crowd >200).,Jentera N35,selective,manual,pending
N35_lapangan_4,N35,Gemencheh,tough,lapangan,P2,Sentuhan akar umbi Sempadan Johor — 1 program/2 minggu.,Jentera N35,selective,manual,pending
N35_komunikasi_5,N35,Gemencheh,tough,komunikasi,P2,Mesej defensif: perpaduan + elak provokasi.,Jentera N35,mingguan,manual,pending
N35_intel_6,N35,Gemencheh,tough,intel,P2,Monitor passive — crawl 1×/minggu N35 Gemencheh.,Jentera N35,1×/minggu,manual,pending
N35_intel_7,N35,Gemencheh,tough,intel,P2,Naikkan ke Boleh Menang jika lawan lemah (clash PN / sentiment drop).,Jentera N35,1×/minggu,opponent_weak_signal,pending
N36_digital_1,N36,Repah,not_priority,digital,P3,Tiada kempen aktif — maintain presence minimum.,Jentera N36,1×/minggu,manual,pending
N36_lapangan_2,N36,Repah,not_priority,lapangan,P3,Tiada operasi lapangan kecuali permintaan calon tempatan.,Jentera N36,selective,manual,pending
N36_intel_3,N36,Repah,not_priority,intel,P3,Crawl passive 1×/minggu — N36 Repah.,Jentera N36,1×/minggu,manual,pending
N36_intel_4,N36,Repah,not_priority,intel,P3,Reclassify jika majoriti lawan drop atau isu tempatan panas.,Jentera N36,1×/minggu,manual,pending
